id,nombre,version,fecha_consulta,url_primaria,licencia,mantenida,validacion_medida,agregacion,calibracion,justifica_anclas,necesidad,suficiencia,nca,robustez,casos,informe_reproducible,interfaz,idioma,validacion_publicada,evidencia_uso,limitaciones,fuentes
"H001","fs/QCA","4.1 (junio de 2023)","2026-08-10","https://sites.socsci.uci.edu/~cragin/fsQCA/software.shtml","no_verificada","si","no_verificado","parcial","si","parcial","si","si","no_verificado","no_verificado","si","parcial","aplicación de escritorio GUI para Windows y macOS","interfaz y manual en inglés; manual 3.0 también en chino","Manual técnico oficial de 3.0 y comparación metodológica publicada de software QCA.","El sitio oficial ofrece 4.1; COMPASSS documenta fs/QCA y un artículo de Frontiers de 2025 declara usar la versión 4.1.","El manual descargable cubre 3.0 y no 4.1; flujo GUI con trazabilidad reproducible limitada; licencia formal no verificada.","https://sites.socsci.uci.edu/~cragin/fsQCA/software.shtml | https://sites.socsci.uci.edu/~cragin/fsQCA/download/fsQCAManual.pdf | https://compasss.org/software/ | https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2025.1673340/full | https://doi.org/10.1177/0894439313478999"
"H002","QCA","3.25","2026-08-10","https://cran.r-project.org/web/packages/QCA/index.html","GPL (>= 3)","si","no_verificado","parcial","si","parcial","si","si","no_verificado","no_verificado","si","parcial","API y consola de R; sin GUI incluida en 3.25","inglés","El manual declara algoritmos exactos y enlaza publicaciones de validación y comparación.","Publicado en CRAN el 2026-05-09; el libro QCA with R tenía 280 obras citantes en OpenAlex al consultar.","Requiere R y compilación; la GUI histórica ya no se distribuye; no se verificó validación de medidas ni NCA.","https://cran.r-project.org/web/packages/QCA/index.html | https://cran.r-project.org/web/packages/QCA/QCA.pdf | https://github.com/dusadrian/QCA | https://doi.org/10.32614/RJ-2013-009"
"H003","SetMethods","4.1","2026-08-10","https://cran.r-project.org/web/packages/SetMethods/index.html","GPL-2","si","no_verificado","no_verificado","parcial","parcial","si","si","no_verificado","parcial","si","parcial","API y consola de R","inglés","El manual implementa el protocolo publicado de robustez y métodos set-theoretic multi-method.","Publicado en CRAN el 2025-03-21; incluye datos para replicar ejemplos de dos libros metodológicos.","Extiende QCA y no es autónomo; la calibración documentada es indirecta; no se verificó validación de medidas ni NCA. La robustez es parcial: los defectos reproducibles de rob.fit y rob.cases están en estado reportado; no hay evidencia pública de confirmación o corrección. Reprexes locales: docs/referencias/robfit-solucion-media-ignorada.R y docs/referencias/setmethods-4.1-reprex.R.","https://cran.r-project.org/web/packages/SetMethods/index.html | https://cran.r-project.org/web/packages/SetMethods/SetMethods.pdf | https://doi.org/10.1177/00491241211036158"
"H004","QCApro","1.1-2","2026-08-10","https://cran.r-project.org/web/packages/QCApro/index.html","GPL-3","no","no_verificado","no_verificado","si","no_verificado","si","si","no_verificado","si","no_verificado","parcial","API y consola de R","inglés","La descripción primaria documenta diagnósticos de sensibilidad y evaluaciones metodológicas; existe comparación publicada de software.","CRAN conserva dos fuentes archivadas y la ficha específica de COMPASSS documenta QCApro para csQCA, mvQCA y fsQCA.","CRAN lo archivó el 2026-05-04 por correo del mantenedor no disponible; última versión de 2018; solapa nombres con QCA; inspección de casos no verificada.","https://cran.r-project.org/web/packages/QCApro/index.html | https://cran.r-project.org/src/contrib/Archive/QCApro/ | https://cran.r-project.org/src/contrib/Archive/QCApro/QCApro_1.1-2.tar.gz | https://legacy.compasss.org/software.htm | https://doi.org/10.1177/0894439313478999"
"H005","QCA::runGUI()","3.23 (última versión exportada)","2026-08-10","https://cran.r-project.org/src/contrib/Archive/QCA/QCA_3.23.tar.gz","GPL (>= 3)","no","no_verificado","parcial","si","parcial","si","si","no_verificado","no_verificado","si","parcial","aplicación Shiny local iniciada desde R","inglés","El artículo «User manual for the QCA(GUI) package in R» (Dusa, 2007; DOI 10.1016/j.jbusres.2007.01.002) documenta la línea GUI; el fuente de QCA 3.23 identifica la implementación Shiny histórica evaluada.","El fuente de QCA 3.23 de 2024 incluye runGUI, servidor y recursos web.","El manual publicado corresponde al linaje QCA(GUI), no valida por sí solo la implementación Shiny; runGUI fue retirada desde QCA 3.24 y no existe en 3.25.","https://cran.r-project.org/src/contrib/Archive/QCA/QCA_3.23.tar.gz | https://cran.r-project.org/src/contrib/Archive/QCA/ | https://doi.org/10.1016/j.jbusres.2007.01.002"
"H006","TOSMANA","1.61","2026-08-10","https://www.tosmana.net/","no_verificada","incierto","no_verificado","no_verificado","si","parcial","si","si","no_verificado","no_verificado","si","parcial","aplicación de escritorio GUI para Windows y Mono","documentación en inglés","La guía oficial describe un flujo fsQCA completo y la comparación metodológica publicada incluye TOSMANA.","Sitio y descarga oficiales disponibles; versión 1.61 publicada el 2019-06-13.","Última actualización declarada en 2019; el autor recomienda comprobar resultados con otro software; licencia formal no verificada.","https://www.tosmana.net/ | https://www.tosmana.net/downloads/TOSMANA_fsqca_getting_started.pdf | https://www.tosmana.net/updates.html | https://doi.org/10.1177/0894439313478999"
"H007","QCA Add-In for Excel","1.1","2026-08-10","https://www.qca-addin.net/","no_verificada","incierto","no_verificado","no_verificado","parcial","parcial","no_verificado","si","no_verificado","no_verificado","no_verificado","parcial","macro y menú gráfico en Microsoft Excel","inglés","No se localizó validación independiente específica; el sitio oficial recomienda comprobar resultados con otro software.","Las guías oficiales documentan selección de datos, tabla de verdad, minimización y hoja de resultados fsQCA.","Requiere Excel y habilitar macros; última versión de 2019; necesidad, robustez y casos no verificados.","https://www.qca-addin.net/ | https://www.qca-addin.net/HowToFsQCA.html | https://www.qca-addin.net/PreparingThresholds.html"
"H008","Kirq","2.1.12","2026-08-10","https://grundrisse.org/qca/kirq","AGPL-3; porciones MIT","no","no_verificado","no_verificado","no","no_verificado","si","si","no_verificado","parcial","si","parcial","aplicación GUI para Windows, macOS y Linux","documentación en inglés","El manual declara el mismo algoritmo de tabla de verdad que fs/QCA y documenta contradicciones fuzzy-set publicadas.","El sitio del autor ofrece binarios, manual, tutorial, datos de ejemplo e historial de análisis con linaje.","El autor declara que la versión actual ya no se actualiza; no calibra ni produce solución intermedia y documenta un bug de caché al reimportar datos modificados.","https://grundrisse.org/qca/kirq | https://grundrisse.org/qca/kirq/docs/kirq.html | https://compasss.org/software/ | https://doi.org/10.1007/s11135-012-9694-3"
"H009","ThSQCA","2.0.6","2026-08-10","https://cran.r-project.org/web/packages/ThSQCA/index.html","MIT + file LICENSE","si","no_verificado","no_verificado","parcial","parcial","no_verificado","si","no_verificado","si","parcial","si","API y consola de R","inglés; tablas también en japonés","Se basa en protocolos publicados de robustez; no se verificó validación independiente específica de la versión.","Publicado en CRAN el 2026-07-31 con DOI de Zenodo, tutorial y código reproducible.","Barridos de umbrales centrados en csQCA; depende de QCA; adopción aún limitada por su publicación reciente.","https://cran.r-project.org/web/packages/ThSQCA/index.html | https://github.com/im-research-yt/ThSQCA | https://doi.org/10.5281/zenodo.17899390 | https://doi.org/10.1177/00491241211036158"
"H010","dcal","sin versión publicada","2026-08-10","https://grundrisse.org/qca/dcal","no_verificada","incierto","no_verificado","no_verificado","si","no_verificado","no_verificado","no_verificado","no_verificado","no_verificado","no_verificado","no_verificado","aplicación web","inglés","Implementa el método directo de calibración publicado por Ragin; no se verificó validación independiente específica de la aplicación.","La página primaria contiene el código de la calculadora, entradas para tres anclas y una tabla que devuelve puntuaciones calibradas y frecuencias.","Requiere que la persona usuaria proporcione las tres anclas; no ejecuta análisis de necesidad o suficiencia; versión, licencia y mantenimiento no verificados.","https://grundrisse.org/qca/dcal | https://grundrisse.org/qca/ | https://doi.org/10.7208/chicago/9780226702797.001.0001"
