"id","fecha","alcance","ronda","fuente","consulta","url","resultados_revisados","universo_informado","enumeracion_completa","observaciones"
"B001","2026-08-10","herramientas",0,"Crossref","\fuzzy-set qualitative comparative analysis\ software","https://api.crossref.org/works?query=%22fuzzy-set%20qualitative%20comparative%20analysis%22%20software&rows=20",20,"8680528","no","Se revisaron los 20 registros devueltos; la consulta amplia informó 8680528 coincidencias y recuperó QCA con R y el candidato SmartFSQCA entre resultados pertinentes."
"B002","2026-08-10","herramientas",0,"OpenAlex","fsQCA calibration Likert survey software","https://api.openalex.org/works?search=fsQCA%20calibration%20Likert%20survey%20software&per-page=20",20,"832","no","Se revisaron los primeros 20 de 832 resultados; se priorizaron tutoriales metodológicos y usos que identificaban software."
"B003","2026-08-10","herramientas",0,"CRAN Search","fsQCA reliability validity workflow","https://search.r-project.org/?P=fsQCA%20reliability%20validity%20workflow&SORT=&HITSPERPAGE=20",0,"0","si","La consulta exacta respondió No documents match your query; la variante relajada ejecutada consta explícitamente en B014."
"B004","2026-08-10","herramientas",0,"GitHub API repositories","QCA robustness software calibration anchors","https://api.github.com/search/repositories?q=QCA%20robustness%20software%20calibration%20anchors&per_page=10",0,"0","si","La API devolvió total_count 0 para la consulta exacta; los dos repositorios oficiales revisados por enlace directo constan por separado en B012a y B012b."
"B005","2026-08-10","herramientas",0,"Google Scholar","fsQCA Shiny application","https://scholar.google.com/scholar?q=fsQCA%20Shiny%20application",10,no_identificado,"no","Se revisó la primera página completa; permitió localizar QCA with R y la GUI Shiny histórica del paquete QCA."
"B006","2026-08-10","herramientas",0,"CRAN Search","fsQCA reproducible report R package","https://search.r-project.org/?P=fsQCA%20reproducible%20report%20R%20package&SORT=&HITSPERPAGE=20",2,"2","si","Se revisaron las dos coincidencias: tutoriales de ThSQCA y TSQCA; TSQCA declara estar deprecado y sustituido por ThSQCA."
"B007","2026-08-10","herramientas",0,"COMPASSS Software","software for configurational comparative methods","https://compasss.org/software/",16,"16","si","Se revisó el listado completo visible de 16 herramientas; se siguieron enlaces oficiales de candidatos fsQCA y complementos metodológicos."
"B008a","2026-08-10","herramientas",0,"CRAN","QCA","https://cran.r-project.org/web/packages/QCA/index.html",1,no_identificado,"no_aplica","Ficha oficial QCA 3.25 revisada."
"B008b","2026-08-10","herramientas",0,"CRAN","SetMethods","https://cran.r-project.org/web/packages/SetMethods/index.html",1,no_identificado,"no_aplica","Ficha oficial SetMethods 4.1 revisada."
"B008c","2026-08-10","herramientas",0,"CRAN","QCApro","https://cran.r-project.org/web/packages/QCApro/index.html",1,no_identificado,"no_aplica","Ficha oficial revisada; informa archivo el 2026-05-04."
"B008d","2026-08-10","herramientas",0,"CRAN","QCAtools","https://cran.r-project.org/web/packages/QCAtools/index.html",1,no_identificado,"no_aplica","Ficha oficial revisada; informa archivo el 2026-04-27."
"B008e","2026-08-10","herramientas",0,"CRAN","ThSQCA","https://cran.r-project.org/web/packages/ThSQCA/index.html",1,no_identificado,"no_aplica","Ficha oficial ThSQCA 2.0.6 revisada."
"B008f","2026-08-10","herramientas",0,"CRAN","TSQCA","https://cran.r-project.org/web/packages/TSQCA/index.html",1,no_identificado,"no_aplica","Ficha y manual oficiales revisados; el paquete se declara deprecado y sustituido por ThSQCA."
"B009a","2026-08-10","herramientas",0,"CRAN Archive","QCA 3.8.2 runGUI","https://cran.r-project.org/src/contrib/Archive/QCA/QCA_3.8.2.tar.gz",1,no_identificado,"no_aplica","Fuente inspeccionada; contiene runGUI y recursos GUI."
"B009b","2026-08-10","herramientas",0,"CRAN Archive","QCA 3.11 runGUI","https://cran.r-project.org/src/contrib/Archive/QCA/QCA_3.11.tar.gz",1,no_identificado,"no_aplica","Fuente inspeccionada; contiene runGUI y recursos GUI."
"B009c","2026-08-10","herramientas",0,"CRAN Archive","QCA 3.14 runGUI","https://cran.r-project.org/src/contrib/Archive/QCA/QCA_3.14.tar.gz",1,no_identificado,"no_aplica","Fuente inspeccionada; contiene runGUI y recursos GUI."
"B009d","2026-08-10","herramientas",0,"CRAN Archive","QCA 3.17 runGUI","https://cran.r-project.org/src/contrib/Archive/QCA/QCA_3.17.tar.gz",1,no_identificado,"no_aplica","Fuente inspeccionada; contiene runGUI y recursos GUI."
"B009e","2026-08-10","herramientas",0,"CRAN Archive","QCA 3.20 runGUI","https://cran.r-project.org/src/contrib/Archive/QCA/QCA_3.20.tar.gz",1,no_identificado,"no_aplica","Fuente inspeccionada; contiene runGUI y recursos GUI."
"B009f","2026-08-10","herramientas",0,"CRAN Archive","QCA 3.21 runGUI","https://cran.r-project.org/src/contrib/Archive/QCA/QCA_3.21.tar.gz",1,no_identificado,"no_aplica","Fuente inspeccionada; contiene runGUI y recursos GUI."
"B009g","2026-08-10","herramientas",0,"CRAN Archive","QCA 3.22 runGUI","https://cran.r-project.org/src/contrib/Archive/QCA/QCA_3.22.tar.gz",1,no_identificado,"no_aplica","Fuente inspeccionada; contiene runGUI y recursos GUI."
"B009h","2026-08-10","herramientas",0,"CRAN Archive","QCA 3.23 runGUI","https://cran.r-project.org/src/contrib/Archive/QCA/QCA_3.23.tar.gz",1,no_identificado,"no_aplica","Fuente inspeccionada; NAMESPACE exporta runGUI y el paquete incluye la aplicación Shiny."
"B009i","2026-08-10","herramientas",0,"CRAN Archive","QCA 3.24 runGUI","https://cran.r-project.org/src/contrib/Archive/QCA/QCA_3.24.tar.gz",1,no_identificado,"no_aplica","Fuente inspeccionada; runGUI y los recursos GUI están ausentes."
"B009j","2026-08-10","herramientas",0,"CRAN","QCA 3.25 runGUI","https://cran.r-project.org/src/contrib/QCA_3.25.tar.gz",1,no_identificado,"no_aplica","Fuente inspeccionada; runGUI y los recursos GUI están ausentes."
"B010","2026-08-10","herramientas",0,"Crossref","Boolean minimization software QCA Thiem Dusa 2013","https://api.crossref.org/works?query=Boolean%20minimization%20software%20QCA%20Thiem%20Dusa%202013&rows=10",10,no_identificado,"no","Se revisaron los primeros diez resultados como rastreo hacia atrás; se recuperaron la comparación de software de Thiem y Dusa y los artículos algorítmicos del paquete QCA."
"B011","2026-08-10","herramientas",0,"OpenAlex","citas hacia delante de QCA with R","https://api.openalex.org/works?filter=cites:W2811032134&per-page=10",10,"280","no","Se revisaron las primeras diez de 280 obras citantes registradas por OpenAlex para la guía QCA with R."
"B012a","2026-08-10","herramientas",0,"GitHub API repository","QCA","https://api.github.com/repos/dusadrian/QCA",1,no_identificado,"no_aplica","Repositorio enlazado desde CRAN; el objeto de API identificable informó pushed_at 2026-07-22T11:15:53Z y html_url https://github.com/dusadrian/QCA."
